PLANT,PLANT NAME,Company,StateOffice,RegionalOffice,TANKAGE,STOCK,TOTAL_STOCK,DAYS_COVER,DAY_BOTTLING,CUMM_BOTTLING,Bottling-Rated capacity(TMTPA)
1171,LPG BP - Tikri Kalan,IOC,Delhi & Haryana SO,NorthRegion,0,8896,0,0,858,4371,720
1172,LPG BP- Madanpur Khadar,IOC,Delhi & Haryana SO,NorthRegion,4506,4148,4200,8,767,3559,720
1173,LPG BP- Karnal,IOC,Delhi & Haryana SO,NorthRegion,4724,2997,2997,6,797,3752,720
1174,LPG BP- Gurgaon,IOC,Delhi & Haryana SO,NorthRegion,384,364,364,1,521,2807,720
1271,LPG BP- Jalandhar,IOC,Punjab  HP and J&K SO,NorthRegion,6246,5357,5357,9,840,4185,515
1272,LPG BP- Baddi,IOC,Punjab  HP and J&K SO,NorthRegion,306,212,388,3,125,827,515
1273,LPG BP -Leh,IOC,Punjab  HP and J&K SO,NorthRegion,0,434,0,0,9,62,515
1274,LPG BP- Nabha,IOC,Punjab  HP and J&K SO,NorthRegion,3956,3179,3179,5,793,4639,515
1275,LPG BP -Jammu,IOC,Punjab  HP and J&K SO,NorthRegion,0,1406,228,1,226,1159,515
1277,LPG BP- Una,IOC,Punjab  HP and J&K SO,NorthRegion,897,661,1213,7,147,1258,515
1279,LPG BP-  Bhatinda,IOC,Punjab  HP and J&K SO,NorthRegion,0,0,0,0,0,0,515
1280,LPG BP Project- Bhatinda,IOC,Punjab  HP and J&K SO,NorthRegion,0,0,0,0,0,0,515
1282,LPG BP-Goindwal Sahib,IOC,Punjab  HP and J&K SO,NorthRegion,0,0,0,0,0,0,515
1371,LPG BP-Bikaner,IOC,Rajasthan SO,NorthRegion,965,794,2038,11,254,1303,330
1372,LPG BP - Ajmer,IOC,Rajasthan SO,NorthRegion,1530,1250,1485,4,435,2477,330
1373,LPG BP - Sawai Madhopur,IOC,Rajasthan SO,NorthRegion,0,0,0,0,0,0,330
1374,LPG BP - Jaipur,IOC,Rajasthan SO,NorthRegion,42072,3349,3417,7,700,3258,330
1375,LPG BP - Jhunjhunu,IOC,Rajasthan SO,NorthRegion,1117,693,1248,11,141,816,330
1471,LPG BP- Trisundi,IOC,UP SO,NorthRegion,84,56,265,5,52,369,671
1473,LPG BP-Allahabad,IOC,UP SO,NorthRegion,1859,1493,3473,8,482,3097,671
1474,LPG BP -Kanpur,IOC,UP SO,NorthRegion,6322,3930,8809,11,913,5521,671
1482,LPG BP -Varanasi,IOC,UP SO,NorthRegion,2635,2278,6382,10,737,4636,671
1486,LPG BP AMAUSI,IOC,UP SO,NorthRegion,2392,1738,5771,10,735,4161,671
1572,LPG BP -Mathura,IOC,UPSO - II,NorthRegion,3409,538,538,1,450,2685,810
1575,LPG BP -Farrukhabad,IOC,UPSO - II,NorthRegion,817,846,1439,8,219,1229,810
1576,LPG BP -Aligarh,IOC,UPSO - II,NorthRegion,612,368,993,6,209,1080,810
1578,LPG BP -Haldwani,IOC,UPSO - II,NorthRegion,324,199,684,4,228,1357,810
1579,LPG BP -Etawah,IOC,UPSO - II,NorthRegion,612,475,1106,8,131,939,810
1580,LPG BP -Haridwar,IOC,UPSO - II,NorthRegion,298,250,707,4,199,1203,810
1583,LPG BP -Pattikalan,IOC,UPSO - II,NorthRegion,1859,1478,4785,15,362,2278,810
1584,LPG BP -Shahjahanpur,IOC,UPSO - II,NorthRegion,2764,1570,2270,9,203,1743,810
1587,LPG BP -Lakhimpur Kheri,IOC,UPSO - II,NorthRegion,1574,909,1467,11,203,898,810
1588,LPG BP -Loni,IOC,UPSO - II,NorthRegion,7780,5600,5617,6,1288,6390,810
1589,LPG BP - Sitargunj,IOC,UPSO - II,NorthRegion,0,0,0,0,0,0,810
2170,FREE FOR FUTURE USE,IOC,West Bengal SO,EastRegion,0,0,0,0,0,0,682
2171,LPG BP -Durgapur,IOC,West Bengal SO,EastRegion,2636,1252,2904,5,922,4172,682
2172,LPG BP -Raninagar,IOC,West Bengal SO,EastRegion,1865,566,2825,8,467,2483,682
2173,LPG BP -Kalyani,IOC,West Bengal SO,EastRegion,2380,1092,2702,5,852,4087,682
2174,LPG BP -RANGPO,IOC,West Bengal SO,EastRegion,307,188,239,6,60,261,682
2175,LPG BP -Port Blair,IOC,West Bengal SO,EastRegion,774,233,233,8,38,194,682
2177,LPG BP -Malda,IOC,West Bengal SO,EastRegion,1108,194,741,4,239,1325,682
2178,LPG BP - Kharagpur,IOC,West Bengal SO,EastRegion,0,0,0,0,0,0,682
2180,LPG BP -Budge Budge,IOC,West Bengal SO,EastRegion,1574,616,1248,5,292,1746,682
2271,LPG BP -Balasore,IOC,Orissa State Office,EastRegion,1365,813,813,4,374,1591,90
2272,ILPG BP -JHARSUGUDA,IOC,Orissa State Office,EastRegion,1118,438,1015,5,281,1395,90
2274,IOC LPG Mkt Terminal-Paradeep,IOC,Orissa State Office,EastRegion,1794,1359,1359,0,0,0,90
2277,LPG BP - Khorda,IOC,Orissa State Office,EastRegion,0,0,0,0,0,0,90
2371,LPG BP -PATNA,IOC,Bihar SO,EastRegion,3263,2823,4326,8,570,3857,540
2372,LPG BP -Jamshedpur,IOC,Bihar SO,EastRegion,2498,1045,1766,5,440,2430,540
